Score,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Min,Sec,Comment
,Player,2,return,Forehand,Topspin,79.002388,368,0,0,no_mans_land,deuce,near,1.409869,2.781612,no_mans_land,deuce_alley,far,-4.143783,24.659048,0.935543,down the line,In,false,14:23:46,8666.759766,144,27,
,Opponent,3,serve_plus_one,Forehand,Topspin,66.080887,368,0,0,no_mans_land,ad,far,1.949212,19.629288,no_mans_land,deuce,near,1.70157,1.414092,0.910388,down the line,In,false,14:23:47,8667.959961,144,28,
,Player,4,return_plus_one,Backhand,Topspin,100.41687,368,0,0,no_mans_land,ad,near,-3.293809,2.681947,no_mans_land,ad,far,1.882148,24.652838,0.988675,cross court,In,false,14:23:48,8669.400391,144,29,
,Opponent,5,in_play,Backhand,Topspin,70.092857,368,0,0,service_box,deuce,far,-0.759921,18.02853,no_mans_land,ad,near,-3.285743,0.918142,0.518978,down the line,In,false,14:23:49,8670.480469,144,30,
,Player,6,in_play,Forehand,Topspin,118.143944,368,0,0,no_mans_land,ad,near,-3.532986,1.659879,no_mans_land,deuce,far,-0.046015,24.156096,0.911207,down the line,In,false,14:23:51,8671.919922,144,32,
,Opponent,7,in_play,Backhand,Topspin,55.997971,368,0,0,no_mans_land,ad,far,1.100287,18.822723,out,ad_alley,near,-4.152001,-0.59114,0.706059,down the line,In,false,14:23:52,8673.240234,144,33,
,Player,8,in_play,Overhead,Flat,167.936722,368,0,0,no_mans_land,deuce,near,1.26347,4.566941,no_mans_land,ad,far,1.100287,20.031511,3.722327,---,In,false,14:23:54,8675.280273,144,35,
,Opponent,1,serve,Serve,Slice,134.925583,369,0,0,service_box,ad,far,0.927291,17.29945,no_mans_land,ad,near,-0.383616,0.468515,2.480206,down the T,In,false,14:24:20,8700.959961,145,1,
,Player,2,return,Forehand,Slice,65.024849,369,0,0,no_mans_land,ad,near,-2.249525,3.150249,no_mans_land,ad,far,1.320364,24.568335,1.589295,inside out,In,false,14:24:20,8701.709961,145,2,
,Opponent,3,serve_plus_one,Backhand,Flat,78.296707,369,0,0,no_mans_land,ad,far,0.118611,18.892498,no_mans_land,ad,near,-2.454737,0.976144,1.004948,cross court,In,false,14:24:22,8703.549805,145,4,
,Player,4,return_plus_one,Forehand,Flat,117.76268,369,0,0,service_box,deuce,near,1.431548,6.001626,out,ad,far,0.351507,25.019876,1.143897,inside in,In,false,14:24:24,8704.910156,145,5,
,Opponent,5,in_play,Forehand,Topspin,69.035095,369,0,0,service_box,ad,far,2.781378,17.212408,no_mans_land,deuce,near,1.735764,2.256962,0.791074,down the line,In,false,14:24:25,8706.240234,145,6,
,Player,6,in_play,Backhand,Slice,67.198639,369,0,0,no_mans_land,ad,near,-1.077989,3.813848,no_mans_land,ad,far,3.339741,24.226776,0.680101,cross court,In,false,14:24:26,8707.55957,145,8,
,Opponent,7,in_play,Forehand,Flat,78.215561,369,0,0,no_mans_land,deuce,far,-2.301213,18.891518,no_mans_land,ad,near,-1.578246,0.864395,0.779701,inside in,In,false,14:24:28,8709.070312,145,9,
,Player,8,in_play,Forehand,Topspin,99.025688,369,0,0,service_box,ad,near,-3.623062,6.686506,out,deuce,far,-2.332056,25.667822,0.775198,down the line,In,false,14:24:29,8710.44043,145,10,
,Opponent,9,in_play,Backhand,Flat,87.497192,369,0,0,out,ad,far,2.821124,24.017235,no_mans_land,ad,near,-3.885815,0.179391,0.545355,cross court,Out,false,14:24:31,8711.75,145,12,
,Opponent,1,serve,Serve,Slice,124.73053,370,0,0,service_box,deuce,far,-3.556612,16.855345,no_mans_land,deuce,near,0.403579,0.128905,2.522539,out wide,In,false,14:25:03,8744.349609,145,44,
,Player,2,return,Forehand,Flat,83.40152,370,0,0,no_mans_land,deuce,near,0.319211,2.690392,out,deuce_alley,far,-4.678068,25.332304,1.00386,down the line,In,false,14:25:04,8745.389648,145,45,
,Opponent,3,serve_plus_one,Forehand,Flat,81.773254,370,0,0,out,ad,far,1.880819,23.783424,no_mans_land,deuce,near,0.423566,1.568309,0.913181,down the line,Out,false,14:25:05,8746.709961,145,47,
,Opponent,1,serve,Serve,Slice,159.33017,371,0,0,service_box,deuce,near,2.296793,10.155272,no_mans_land,ad,near,-0.439629,-0.477386,2.5046,out wide,Net,false,14:25:37,8778.230469,146,18,
