,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Score_index_before,Pt_P1_before,Pt_P2_before,Gm_P1_before,Gm_P2_before,Set_P1_before,Set_P2_before,first_serve,P1_serving,game_type,Score_index_after,Pt_P1_after,Pt_P2_after,Gm_P1_after,Gm_P2_after,Set_P1_after,Set_P2_after,Bounce (x)Old,Bounce (y)Old,ShotOld,ResultOld,Hit (x)Old,Hit (y)Old,comment,Result2,W_UE,rally_length,rally_length_custom,BP,srv_from,srv_to,P_FH-Line,P_FH-Middle,P_FH-Cross,P_FH-II,P_FH-IO,P_FH-IM,P_FH-D,P_FH-Cross-Pass,P_FH-Middle-Pass,P_FH-Line-Pass,P_BH-Line,P_BH-Middle,P_BH-Cross,P_BH-Slice,P_BH-D,P_BH-Cross-Pass,P_BH-Middle-Pass,P_BH-Line-Pass,P_VOL,P_SMA,O_FH-Line,O_FH-Middle,O_FH-Cross,O_FH-II,O_FH-IO,O_FH-IM,O_FH-D,O_FH-Cross-Pass,O_FH-Middle-Pass,O_FH-Line-Pass,O_BH-Line,O_BH-Middle,O_BH-Cross,O_BH-Slice,O_BH-D,O_BH-Cross-Pass,O_BH-Middle-Pass,O_BH-Line-Pass,O_VOL,O_SMA,shot_from,shot_to,desc1,desc2,desc3,desc4,desc5
20,Opponent,2,return,Backhand,Flat,115.401077,12,0.0,0.0,out,deuce,near,1.974492,-0.612761,no_mans_land,ad_alley,far,5.273395,24.617418,1.481656,down the line,Out,False,21:34:18,523.549988,1,5.0,3.0,2.0,0.0,0.0,0.0,0.0,True,True,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,FE,2.0,1.0,False,ad,wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,deuce,BH,Line,,,
21,Opponent,1,serve,Serve,Slice,122.690895,14,0.0,0.0,service_box,deuce,far,-0.585177,17.56229,no_mans_land,deuce,near,0.642609,0.943489,2.405573,down the T,In,False,21:35:32,597.47998,2,6.0,0.0,0.0,1.0,0.0,0.0,0.0,True,False,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,F,2.0,1.0,False,deuce,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
22,Player,2,return,Backhand,Topspin,79.956505,14,0.0,0.0,out,deuce,near,0.67695,-0.898687,out,deuce,far,-1.402752,25.35568,0.996551,inside out,Out,False,21:35:33,598.25,2,6.0,0.0,0.0,1.0,0.0,0.0,0.0,True,False,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,FE,2.0,1.0,False,deuce,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deuce,middle,BH,IM,,,
23,Opponent,1,serve,Serve,Slice,86.152313,15,0.0,0.0,service_box,ad,far,0.3,19.17,no_mans_land,ad,near,-0.522415,0.188792,2.447898,down the T,Out,False,21:35:50,615.419983,-2,7.0,0.0,1.0,1.0,0.0,0.0,0.0,True,False,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.325522,16.464096,,In,,,,,,-1.0,-1.0,False,ad,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
24,Player,0,none,Forehand,Flat,63.231918,16,0.0,0.0,out,ad,near,-0.637144,-0.104968,out,ad,far,0.721443,25.975077,1.093345,inside out,Out,False,21:35:51,616.280029,2,,,,,,,,True,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Opponent,1,serve,Serve,Slice,90.455971,17,0.0,0.0,service_box,ad,far,2.820747,16.160191,out,ad,near,-0.637144,-0.630215,2.405081,out wide,In,False,21:36:04,628.97998,1,7.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,5.0,5.0,False,ad,wide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
26,Player,2,return,Backhand,Topspin,91.414658,17,0.0,0.0,no_mans_land,deuce,near,0.822555,3.07667,no_mans_land,ad_alley,far,4.693841,24.410845,1.308201,down the line,In,False,21:36:05,629.919983,1,7.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,5.0,5.0,False,ad,wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,middle,BH,Middle,,,
27,Opponent,3,serve_plus_one,Forehand,Topspin,120.514259,17,0.0,0.0,no_mans_land,ad,far,2.348052,18.324558,no_mans_land,ad,near,-0.674418,-0.013305,0.954272,inside out,In,False,21:36:06,631.02002,1,7.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,5.0,5.0,False,ad,wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,ad,FH,II,,,
28,Player,4,return_plus_one,Backhand,Topspin,73.998878,17,0.0,0.0,service_box,ad,near,-3.136875,6.883559,no_mans_land,ad,far,2.910961,23.878443,0.847839,cross court,In,False,21:36:07,632.179993,1,7.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,5.0,5.0,False,ad,wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,ad,BH,Cross,,,
29,Opponent,5,in_play,Backhand,Flat,93.383263,17,0.0,0.0,out,ad_alley,far,5.228534,24.867315,no_mans_land,ad_alley,near,-4.539456,1.840471,0.796456,cross court,Out,False,21:36:09,633.880005,1,7.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,UE,5.0,5.0,False,ad,wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,ad,BH,Cross,,,
