,Player,Shot,Type,Stroke,Spin,Speed,Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,Bounce (x)2,Bounce (y)2,ResultOld,Bounce (x)old,Bounce (y)old,Bounce (x)Old,Bounce (y)Old,comment
68,Player,1,first_serve,Serve,Flat,118,29,0,0,service_box,deuce,far,1.0,17.0,no_mans_land,ad,near,-0.980954,0.222415,2.525174,down the T,In,False,15:01:49,1077.5,1,In,1.0,17.0,Out,-1.457847,16.92252,,,
69,Opponent,2,return,Backhand,Flat,90,29,0,0,no_mans_land,deuce,near,0.546753,3.893397,no_mans_land,ad,far,3.847269,24.853838,1.088954,down the line,In,False,15:01:50,1078.400024,1,,,,,,,,,
70,Player,3,serve_plus_one,Forehand,Topspin,74,29,0,0,no_mans_land,ad,far,2.734949,20.275616,no_mans_land,deuce,near,0.120121,1.311807,0.631052,down the line,In,False,15:01:52,1079.699951,1,,,,,,,,,
71,Opponent,4,return_plus_one,Backhand,Topspin,77,29,0,0,no_mans_land,ad_alley,near,-4.0,4.0,out,ad,far,3.572424,25.644526,1.106896,down the line,In,False,15:01:53,1081.079956,1,In,-4.0,4.0,Out,-5.206059,4.055933,,,
72,Player,5,in_play,Backhand,Flat,93,29,0,0,service_box,ad,far,2.554106,17.039337,out,ad,near,-3.981297,-0.967807,0.843702,cross court,In,False,15:01:54,1082.52002,1,,,,,,,,,
73,Opponent,6,in_play,Backhand,Topspin,93,29,0,0,no_mans_land,deuce,near,2.0,-2.0,no_mans_land,ad_alley,far,4.566636,24.346647,0.982314,down the line,Out,False,15:01:56,1083.76001,1,Out,2.0,-2.0,In,1.844313,0.539516,,,
74,Player,1,first_serve,Serve,Kick,123,30,0,0,service_box,deuce,far,-1.647839,14.989622,no_mans_land,deuce,near,0.355046,0.43617,2.465112,down the T,In,False,15:02:17,1105.339966,0,,,,,,,,,
75,Opponent,2,return,Backhand,Flat,94,30,0,0,service_box,ad,near,-0.797156,6.572745,no_mans_land,deuce,far,-2.378584,24.492659,1.08119,inside in,In,False,15:02:18,1106.180054,0,,,,,,,,,
76,Player,3,serve_plus_one,Backhand,Topspin,88,30,0,0,out,ad,far,3.132308,24.0762,no_mans_land,ad,near,-0.259083,3.084698,0.887607,cross court,Out,False,15:02:19,1107.380005,0,,,,,,,,,
77,Player,1,first_serve,Serve,Flat,121,31,0,0,service_box,ad,far,3.844171,15.478529,no_mans_land,ad,near,-0.464503,0.303178,2.259229,out wide,In,False,15:02:44,1132.199951,0,,,,,,,,,
