,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Result2,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2,comment
14,Opponent,5,in_play,Forehand,Flat,104,4,0,0,service_box,deuce,near,1.334773,6.477829,out,deuce,far,-1.397572,25.80258,0.848119,cross court,In,False,12:53:33,458.700012,0,,,,,,,,,,,
15,Player,6,in_play,Forehand,Topspin,81,4,0,0,no_mans_land,ad,far,1.07894,20.10157,no_mans_land,deuce,near,2.079365,-0.200426,0.939925,down the line,In,False,12:53:34,459.839996,0,,,,,,,,,,,
16,Opponent,7,in_play,Backhand,Topspin,96,4,0,0,service_box,ad,near,-1.751333,7.140079,out,ad,far,0.904214,25.323412,0.998319,cross court,In,False,12:53:35,461.079987,0,,,,,,,,,,,
17,Player,8,in_play,Backhand,Topspin,72,4,0,0,no_mans_land,ad,far,0.59919,20.904154,no_mans_land,ad,near,-2.868842,0.119044,0.711418,cross court,In,False,12:53:37,462.160004,0,,,,,,,,,,,
18,Opponent,9,in_play,Forehand,Topspin,90,4,0,0,no_mans_land,ad,near,-0.499928,4.211486,out,ad,far,1.559518,25.827509,1.23172,inside out,In,False,12:53:38,463.679993,0,,,,,,,,,,,
19,Player,10,in_play,Backhand,Topspin,74,4,0,0,service_box,ad,far,1.824177,14.896366,no_mans_land,ad,near,-0.813996,-0.163209,0.686397,cross court,In,False,12:53:40,465.220001,0,,,,,,,,,,,
20,Opponent,11,in_play,Backhand,Flat,106,4,0,0,no_mans_land,deuce,near,0.122001,4.419918,out,ad,far,2.993965,25.201548,0.974625,down the line,In,False,12:53:41,466.73999,0,,,,,,,,,,,
21,Player,12,in_play,Forehand,Topspin,76,4,0,0,no_mans_land,ad,far,2.694589,18.435833,no_mans_land,ad,near,-0.052871,0.019649,0.737161,inside out,In,False,12:53:42,468.079987,0,,,,,,,,,,,
22,Opponent,13,in_play,Backhand,Topspin,101,4,0,0,no_mans_land,ad,near,-0.379779,4.260846,no_mans_land,ad,far,3.607097,24.452803,1.092853,cross court,In,False,12:53:44,469.480011,0,,,,,,,,,,,
23,Player,14,in_play,Forehand,Topspin,83,4,0,0,no_mans_land,ad,far,0.848132,20.987303,out,ad,near,-1.721694,-0.88963,0.823915,inside out,In,False,12:53:45,470.76001,0,,,,,,,,,,,
24,Opponent,15,in_play,Backhand,Flat,109,4,0,0,no_mans_land,deuce,near,2.825714,3.986123,no_mans_land,ad,far,1.582918,24.836422,0.920964,down the line,In,False,12:53:46,472.059998,0,,,,,,,,,,,
25,Player,16,in_play,Forehand,Topspin,74,4,0,0,service_box,deuce,near,1.660974,11.88,out,deuce,near,3.32534,-1.143567,0.587749,cross court,Net,False,12:53:48,473.320007,0,,,,,,,,,,,
26,Player,-1,serve,Serve,Flat,129,5,0,0,service_box,ad,near,-3.449309,11.88,out,deuce,near,-3.807562,0.242112,5.530475,out wide,Net,False,12:54:15,500.880005,0,,,,,,,,,,,invalid
27,Player,-2,return,Backhand,Topspin,48,5,0,0,service_box,ad,near,-1.14297,11.88,service_box,ad,near,-3.157796,5.840619,1.554996,cross court,Net,False,12:54:16,501.779999,0,,,,,,,,,,,invalid
28,Opponent,1,serve,Serve,Flat,137,6,0,0,service_box,deuce,near,3.161424,5.871282,no_mans_land,deuce,far,-0.796504,24.325268,2.624331,out wide,In,False,12:54:43,528.179993,0,,,,,,,,,,,
29,Player,0,return,Forehand,Flat,91,6,0,0,no_mans_land,ad,far,0.853661,20.378166,no_mans_land,deuce_alley,near,4.649304,0.245373,1.115248,down the line,In,False,12:54:43,529.0,0,,,,,,,,,,,
30,Opponent,0,serve_plus_one,Backhand,Topspin,89,6,0,0,out,ad,far,0.408057,11.88,no_mans_land,ad,far,0.853661,21.586954,0.983652,cross court,Net,False,12:54:44,529.780029,0,,,,,,,,,,,
31,Player,0,serve,Serve,Kick,119,8,0,0,service_box,ad,far,0.316775,11.88,no_mans_land,ad,far,0.316775,24.041895,0.838384,down the T,Net,False,12:55:11,556.280029,0,,,,,,,,,,,cancelled
32,Opponent,0,return,Forehand,Topspin,82,8,0,0,service_box,ad,far,0.08256,16.920166,service_box,ad,near,-0.131091,9.147067,1.414687,inside out,In,False,12:55:12,557.179993,0,,,,,,,,,,,cancelled
33,Opponent,0,serve,Serve,Kick,100,9,0,0,service_box,ad,far,0.016268,16.347977,service_box,deuce,near,0.016548,0.056108,2.126614,down the T,Out,False,12:55:13,559.080017,1,,,,,,,,,,,cancelled
34,Player,0,return,Backhand,Topspin,80,9,0,0,service_box,deuce,near,1.105323,6.82876,no_mans_land,ad,far,0.100189,20.037592,0.862325,down the line,In,False,12:55:15,560.179993,1,,,,,,,,,,,cancelled
35,Player,1,serve,Serve,Flat,52,10,0,0,no_mans_land,ad,near,-0.171248,4.151048,no_mans_land,deuce,far,-1.401954,23.375246,2.499588,down the T,Out,False,12:55:34,579.880005,-1,,,,,,,,,,,swapped srv
36,Player,1,serve,Serve,Flat,47,11,0,0,service_box,deuce,near,1.431976,6.162167,no_mans_land,deuce,far,-1.471896,23.894045,2.45776,down the T,In,False,12:55:58,603.580017,0,,,,,,,,,,,swapped srv
37,Opponent,2,return,Forehand,Flat,82,11,0,0,no_mans_land,ad,far,0.225725,20.057369,out,deuce,near,2.406281,-0.920808,1.220286,down the line,In,False,12:56:00,605.52002,0,,,,,,,,,,,swapped srv
38,Player,3,serve_plus_one,Forehand,Flat,78,11,0,0,service_box,ad,near,-3.1871,6.20518,out,deuce,far,-0.32755,25.463688,0.935311,down the line,In,False,12:56:01,606.900024,0,,,,,,,,,,,swapped srv
39,Opponent,4,return_plus_one,Backhand,Flat,86,11,0,0,no_mans_land,ad,far,1.722265,19.560848,out,ad_alley,near,-4.456384,-0.685478,0.595861,down the line,In,False,12:56:03,608.26001,0,,,,,,,,,,,swapped srv
40,Player,5,in_play,Backhand,Topspin,96,11,0,0,no_mans_land,ad,near,-1.397542,3.474708,out,ad,far,2.157526,25.246851,1.041537,cross court,In,False,12:56:04,609.580017,0,,,,,,,,,,,swapped srv
41,Opponent,6,in_play,Backhand,Flat,90,11,0,0,no_mans_land,ad,far,1.120308,18.416807,no_mans_land,ad,near,-2.064565,-0.244425,0.750537,cross court,In,False,12:56:05,610.599976,0,,,,,,,,,,,swapped srv
42,Player,7,in_play,Backhand,Flat,87,11,0,0,no_mans_land,ad,near,-4.61,2.41,out,ad,far,2.11,25.05,0.915084,cross court,Out,False,12:56:06,611.799988,0,In,-2.36447,2.413386,2.10733,25.047503,Out,-4.61,2.41,2.11,25.05,swapped srv
43,Player,1,serve,Serve,Flat,133,12,0,0,service_box,ad,near,0.5,6.87,no_mans_land,ad,far,0.62,23.68,2.325066,down the T,Out,False,12:56:24,629.919983,-1,In,-0.38578,6.867726,0.619659,23.678053,Out,0.5,6.87,0.62,23.68,swapped srv
