,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,ResultOld,Bounce (x)Old,Bounce (y)Old,Bounce (x)2,Bounce (y)2,comment,Hit (x)Old,Hit (y)Old,Hit (x)2,Hit (y)2
329,Opponent,0,serve,Serve,Slice,81,120,0,0,service_box,deuce,near,2.284575,10.871687,no_mans_land,ad,near,-0.204167,0.103111,2.648119,out wide,Net,False,16:33:49,3303.419922,1,,,,,,,,,,,
330,Opponent,1,serve,Serve,Flat,146,121,0,0,service_box,ad,near,-2.425429,7.374156,no_mans_land,deuce,near,0.394328,0.177732,2.404455,out wide,Net,False,16:34:08,3322.47998,-2,,,,,,,,,,,
331,Opponent,1,serve,Serve,Kick,113,122,0,0,service_box,deuce,far,-2.161974,16.765743,no_mans_land,deuce,near,0.38687,1.070191,2.435036,down the T,In,False,16:34:23,3337.419922,1,,,,,,,,,,,
332,Player,2,return,Forehand,Topspin,69,122,0,0,no_mans_land,ad,near,-0.420469,4.511424,no_mans_land,deuce,far,-3.154636,24.802879,1.042533,down the line,In,False,16:34:24,3338.26001,1,,,,,,,,,,,
333,Opponent,3,serve_plus_one,Forehand,Topspin,65,122,0,0,service_box,ad,far,4.5,17.869263,no_mans_land,ad,near,-0.282501,1.275598,0.829134,inside out,Out,False,16:34:25,3339.580078,1,Out,In,3.365791,17.869263,4.5,17.869263,,,,,
334,Player,0,return_plus_one,Backhand,Flat,71,122,0,0,no_mans_land,ad,near,-0.542629,5.359131,no_mans_land,ad_alley,far,4.690125,24.530909,0.960159,down the line,In,False,16:34:27,3341.340088,1,,,,,,,,,,,
335,Opponent,1,serve,Serve,Slice,136,123,0,0,service_box,ad_alley,far,5.429233,15.18451,out,ad,near,-0.967369,-0.656249,2.581787,out wide,Out,False,16:34:55,3369.419922,-2,,,,,,,,,,,
336,Player,0,none,Backhand,Slice,56,124,0,0,no_mans_land,ad,near,-0.713228,0.935439,no_mans_land,ad_alley,far,5.176515,23.594498,1.301103,down the line,In,False,16:34:56,3370.179932,1,,,,,,,,,,,
337,Opponent,1,serve,Serve,Kick,131,125,0,0,service_box,ad,far,2.041867,14.324402,no_mans_land,ad,near,-0.713228,0.410192,2.387773,out wide,In,False,16:35:10,3384.780029,0,,,,,,,,,,,
338,Player,2,return,Backhand,Flat,75,125,0,0,no_mans_land,ad,near,-1.31646,3.354441,no_mans_land,ad,far,3.831165,23.74695,1.133645,cross court,In,False,16:35:11,3385.699951,0,,,,,,,,,,,
339,Opponent,3,serve_plus_one,Forehand,Topspin,69,125,0,0,no_mans_land,ad,far,2.987922,18.846998,no_mans_land,ad,near,-1.459959,-0.378134,0.69243,inside out,In,False,16:35:12,3386.919922,0,,,,,,,,,,,
340,Player,4,return_plus_one,Backhand,Flat,89,125,0,0,no_mans_land,ad,near,-0.533052,4.78127,no_mans_land,ad,far,3.848801,24.184008,1.146925,cross court,In,False,16:35:14,3388.26001,0,,,,,,,,,,,
341,Opponent,5,in_play,Forehand,Topspin,93,125,0,0,no_mans_land,deuce,far,-2.802502,18.349611,no_mans_land,ad,near,-1.402048,0.905108,0.780681,inside in,In,False,16:35:15,3389.580078,0,,,,,,,,,,,
