,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Video Time_2,Result2,comment,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2
34,Opponent,1,serve,Serve,Flat,138,13,0,0,service_box,deuce,far,-2.9384,16.991703,no_mans_land,deuce,near,0.578067,0.900704,2.451474,out wide,In,False,14:32:34,6104.559998,0,240.559998,,,,,,,,,,,
35,Player,2,return,Forehand,Topspin,107,13,0,0,no_mans_land,deuce,near,0.910261,3.873586,no_mans_land,deuce_alley,far,-4.83681,24.782412,1.092381,down the line,In,False,14:32:35,6105.380005,0,241.380005,,,,,,,,,,,
36,Opponent,3,serve_plus_one,Forehand,Topspin,71,13,0,0,no_mans_land,deuce,far,-0.483077,20.361309,no_mans_land,deuce,near,1.782095,0.511397,0.612135,cross court,In,False,14:32:36,6106.320007,0,242.320007,,,,,,,,,,,
37,Player,4,return_plus_one,Backhand,Slice,63,13,0,0,out,deuce,far,3.0,7.0,no_mans_land,deuce,far,-1.0,24.91,1.149117,inside out,In,False,14:32:37,6107.699997,0,243.699997,In,,Net,-0.876115,11.88,-1.002265,24.910345,3.0,7.0,-1.0,24.91
39,Opponent,5,in_play,Forehand,Topspin,91,13,0,0,no_mans_land,ad,far,3.619933,21.777449,no_mans_land,deuce,near,3.702266,3.756732,0.505833,down the line,In,False,14:32:39,6109.779999,0,245.779999,,,,,,,,,,,
40,Opponent,0,none,Forehand,Topspin,71,14,0,0,no_mans_land,ad,near,-0.050434,5.4864,out,deuce,near,0.189754,-0.624683,1.916845,down the line,Net,False,14:32:44,6114.5,1,250.5,,,,,,,,,,,
41,Opponent,1,serve,Serve,Flat,131,15,0,0,service_box,deuce,near,2.898654,11.88,no_mans_land,ad,near,-0.837852,-0.313443,2.486084,out wide,Net,False,14:33:06,6136.480011,-2,272.480011,,,,,,,,,,,
42,Opponent,1,serve,Serve,Flat,152,16,0,0,service_box,ad,far,0.404028,17.886286,no_mans_land,ad,near,-0.548497,0.065139,2.320441,down the T,In,False,14:33:15,6145.279999,0,281.279999,,,,,,,,,,,
43,Player,2,return,Forehand,Topspin,105,16,0,0,no_mans_land,ad,near,-0.752232,4.495782,out,ad,far,0.767847,25.698816,1.108092,inside out,In,False,14:33:15,6145.859985,0,281.859985,,,,,,,,,,,
44,Opponent,3,serve_plus_one,Backhand,Topspin,90,16,0,0,no_mans_land,ad,far,0.990049,20.02775,no_mans_land,ad,near,-0.955263,0.410835,0.809472,cross court,In,False,14:33:16,6146.980011,0,282.980011,,,,,,,,,,,
45,Player,4,return_plus_one,Forehand,Topspin,93,16,0,0,service_box,ad,far,2.284279,11.88,out,ad,far,1.144047,25.162302,1.123235,inside out,Net,False,14:33:18,6148.26001,0,284.26001,,,,,,,,,,,
